"The American Tradition in Literature, Volume 2 (book alone)",George Perkins,156,October 2008
American Working-Class Literature: An Anthology,Nicholas Coles,157,August 2006
The Butterfly's Way: Voices from the Haitian Dyaspora in the United States,Edwidge Danticat,158,July 2003
Bedford Anthology of American Literature: Volume Two: 1865 to Present,Susan Belasco,159,February 2008
"Titanica: The Disaster of the Century in Poetry, Song and Prose",Steven Biel,160,September 1998
The Unswept Path: Contemporary American Haiku,John Brandi,161,September 2005
"The Vietnam War in American Stories, Songs, and Poems",H. Bruce Franklin,162,August 1995
The Best American Essays 2008,Adam Gopnik,163,October 2008
The Best American Poetry 2008,Charles Wright,164,September 2008
Poems from the Women's Movement,Honor Moore,165,April 2009
Listening for God: Contemporary Literature And The Life Of Faith: Volume 2,Paula J. Carlson,166,January 1998
The Norton Anthology of African American Literature,Henry Louis Gates Jr.,167,November 1996
The Best American Sports Writing 2008,William Nack,168,October 2008
New Orleans Stories: Great Writers on the City,John Miller,169,June 2004
Sporting Lives: Metaphor and Myth in American Sports,James W. Pipkin,170,February 2008
"American Literature, Volume II (Penguin Academics Series)",William E. Cain,171,December 2003
After Frost: Anthol Poetry From N E,Henry Lyman,172,September 1996
"To The Shore Once More, Volume II: A Journey Down The Jersey Shore; Prose, Poetry, And Works Of Art",Frank Finale,173,May 2001
Winter Song: Christmas Readings,Madeleine L'Engle,174,October 2004
Rag and Bone Shop of the Heart: A Poetry Anthology,Robert Bly,175,August 1993
Oxford Book of American Poetry,David Lehman,176,March 2006
The Portable Jack Kerouac,Jack Kerouac,177,August 2007
Boricuas: Influential Puerto Rican Writings--- An Anthology,Roberto Santiago,178,September 1995
Coming of Age in the 21st Century,Mary Frosch,179,October 2008
Empire City: New York Through the Centuries,Kenneth T. Jackson,180,August 2005
Erotique Noire: Black Erotica,Miriam Decosta-Willis,181,August 1992
Short Story Masterpieces,Robert Penn Warren,182,March 1954
The Best American Short Plays 2006-2007,Barbara Parisi,183,May 2010
Black on White: Black Writers on What It Means to Be White,David R. Roediger,184,January 1999
In a Narrow Grave: Essays on Texas,Larry McMurtry,185,July 2001
Queer 13: Lesbian and Gay Writers Recall Seventh Grade,Clifford Chase,186,September 1999
Hokum: An Anthology of African-American Humor,Paul Beatty,187,January 2006
Voices in Our Blood: America's Best on the Civil Rights Movement,Jon Meacham,188,January 2003
The Complete Works of Kate Chopin,Kate Chopin,189,May 2006
Literature and the Environment: A Reader on Nature and Culture,Lorraine Anderson,190,August 1998
"The Heath Anthology of American Literature, Concise Edition",Paul Lauter,191,May 2003
Early American Writing,Various,192,February 1994
Soulscript: A Collection of Classic African American Poetry,June Jordan,193,November 2004
"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 1",Sandra M. Gilbert,194,February 2007
Out of Her Mind: Women Writing on Madness,Rebecca Shannonhouse,195,February 2003
"The Wadsworth Themes American Literature Series, 1945-Present, Theme 18: Class Conflicts and the American Dream",Jay Parini,196,July 2008
Concise Anthology of American Literature,George McMichael,197,December 2005
Written by Herself: Autobiographies of American Women,Jill Ker Conway,198,November 1992
Asian American Studies Now: A Critical Reader,Jean Yu-wen Shen Wu,199,April 2010
Growing Up in the South: An Anthology of Modern Southern Literature,Suzanne Jones,200,January 2003
American Protest Literature,Zoe Trodd,201,April 2008
The Vietnam Reader: The Definitive Collection of American Fiction and Nonfiction on the War,Stewart O'Nan,202,October 1998
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Gloria Bird,203,September 1998
The Norton Anthology of American Literature: Volume E: 1945 to the Present,Jerome Klinkowitz,204,April 2007
"Living Literature: An Introduction to Fiction, Poetry, Drama",John Brereton,205,January 2007
"Women of the Beat Generation: The Writers, Artists and Muses at the Heart of a Revolution",Brenda Knight,206,October 1998
La Llorona on the Longfellow Bridge: Poetry Y Otras Movidas,Alicia Gaspar De Alba,207,January 2003
"To the Shore Once More: A Portrait Of The Jersey Shore; Prose, Poetry, and Works of Art",Frank Finale,208,July 1999
Witnessing Lynching: American Writers Respond,Anne P. Rice,209,October 2003
Longman Anthology of Women's Literature,Mary K. DeShazer,210,December 2000
